match_id,start_date,venue,team_1,team_2,winner,toss_winner,toss_decision
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,Australia,Australia,bat
1000889,2017-01-15,Melbourne Cricket Ground,Australia,Pakistan,Pakistan,Australia,bat
1000891,2017-01-19,Western Australia Cricket Association Ground,Australia,Pakistan,Australia,Australia,field
1000893,2017-01-22,Sydney Cricket Ground,Australia,Pakistan,Australia,Australia,bat
1000895,2017-01-26,Adelaide Oval,Australia,Pakistan,Australia,Australia,bat
1001371,2016-12-04,Sydney Cricket Ground,Australia,New Zealand,Australia,Australia,bat
1001373,2016-12-06,Manuka Oval,Australia,New Zealand,Australia,New Zealand,field
1001375,2016-12-09,Melbourne Cricket Ground,Australia,New Zealand,Australia,Australia,bat
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,No Result,Hong Kong,field
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,Scotland,Scotland,bat
1007649,2016-06-11,Harare Sports Club,Zimbabwe,India,India,India,field
1007651,2016-06-13,Harare Sports Club,Zimbabwe,India,India,India,field
1007653,2016-06-15,Harare Sports Club,Zimbabwe,India,India,Zimbabwe,bat
1019973,2016-12-26,Hagley Oval,New Zealand,Bangladesh,New Zealand,New Zealand,bat
1019975,2016-12-29,Saxton Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,field
1019977,2016-12-31,Saxton Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,bat
1020013,2017-01-30,Eden Park,New Zealand,Australia,New Zealand,Australia,field
1020017,2017-02-05,Seddon Park,New Zealand,Australia,New Zealand,New Zealand,bat
1020031,2017-02-19,Seddon Park,New Zealand,South Africa,South Africa,South Africa,field
1020033,2017-02-22,Hagley Oval,New Zealand,South Africa,New Zealand,South Africa,field
1020035,2017-02-25,Westpac Stadium,New Zealand,South Africa,South Africa,South Africa,bat
