match_id,date,team,player
1000887,2017-01-13,Australia,DA Warner
1000887,2017-01-13,Australia,TM Head
1000887,2017-01-13,Australia,SPD Smith
1000887,2017-01-13,Australia,CA Lynn
1000887,2017-01-13,Australia,MR Marsh
1000887,2017-01-13,Australia,GJ Maxwell
1000887,2017-01-13,Australia,MS Wade
1000887,2017-01-13,Australia,JP Faulkner
1000887,2017-01-13,Australia,PJ Cummins
1000887,2017-01-13,Australia,MA Starc
1000887,2017-01-13,Australia,B Stanlake
1000887,2017-01-13,Pakistan,Azhar Ali
1000887,2017-01-13,Pakistan,Sharjeel Khan
1000887,2017-01-13,Pakistan,Mohammad Hafeez
1000887,2017-01-13,Pakistan,Babar Azam
1000887,2017-01-13,Pakistan,Umar Akmal
1000887,2017-01-13,Pakistan,Mohammad Rizwan
1000887,2017-01-13,Pakistan,Imad Wasim
1000887,2017-01-13,Pakistan,Mohammad Nawaz (3)
1000887,2017-01-13,Pakistan,Mohammad Amir
1000887,2017-01-13,Pakistan,Wahab Riaz
1000887,2017-01-13,Pakistan,Hasan Ali
1000889,2017-01-15,Australia,UT Khawaja
1000889,2017-01-15,Australia,DA Warner
1000889,2017-01-15,Australia,SPD Smith
1000889,2017-01-15,Australia,MR Marsh
1000889,2017-01-15,Australia,TM Head
1000889,2017-01-15,Australia,GJ Maxwell
1000889,2017-01-15,Australia,MS Wade
1000889,2017-01-15,Australia,JP Faulkner
1000889,2017-01-15,Australia,MA Starc
1000889,2017-01-15,Australia,PJ Cummins
1000889,2017-01-15,Australia,JR Hazlewood
1000889,2017-01-15,Pakistan,Mohammad Hafeez
1000889,2017-01-15,Pakistan,Sharjeel Khan
1000889,2017-01-15,Pakistan,Babar Azam
1000889,2017-01-15,Pakistan,Asad Shafiq
1000889,2017-01-15,Pakistan,Shoaib Malik
1000889,2017-01-15,Pakistan,Umar Akmal
1000889,2017-01-15,Pakistan,Mohammad Rizwan
1000889,2017-01-15,Pakistan,Imad Wasim
1000889,2017-01-15,Pakistan,Mohammad Amir
1000889,2017-01-15,Pakistan,Hasan Ali
1000889,2017-01-15,Pakistan,Junaid Khan
1000891,2017-01-19,Australia,DA Warner
1000891,2017-01-19,Australia,UT Khawaja
1000891,2017-01-19,Australia,SPD Smith
1000891,2017-01-19,Australia,PSP Handscomb
1000891,2017-01-19,Australia,TM Head
1000891,2017-01-19,Australia,GJ Maxwell
1000891,2017-01-19,Australia,MS Wade
1000891,2017-01-19,Australia,JP Faulkner
1000891,2017-01-19,Australia,PJ Cummins
1000891,2017-01-19,Australia,JR Hazlewood
1000891,2017-01-19,Australia,B Stanlake
1000891,2017-01-19,Pakistan,Mohammad Hafeez
1000891,2017-01-19,Pakistan,Sharjeel Khan
1000891,2017-01-19,Pakistan,Babar Azam
1000891,2017-01-19,Pakistan,Asad Shafiq
1000891,2017-01-19,Pakistan,Shoaib Malik
1000891,2017-01-19,Pakistan,Umar Akmal
1000891,2017-01-19,Pakistan,Imad Wasim
1000891,2017-01-19,Pakistan,Mohammad Rizwan
1000891,2017-01-19,Pakistan,Mohammad Amir
1000891,2017-01-19,Pakistan,Hasan Ali
1000891,2017-01-19,Pakistan,Junaid Khan
1000893,2017-01-22,Australia,UT Khawaja
1000893,2017-01-22,Australia,DA Warner
1000893,2017-01-22,Australia,SPD Smith
1000893,2017-01-22,Australia,TM Head
1000893,2017-01-22,Australia,GJ Maxwell
1000893,2017-01-22,Australia,MS Wade
1000893,2017-01-22,Australia,MA Starc
1000893,2017-01-22,Australia,PSP Handscomb
1000893,2017-01-22,Australia,PJ Cummins
1000893,2017-01-22,Australia,A Zampa
1000893,2017-01-22,Australia,JR Hazlewood
1000893,2017-01-22,Pakistan,Azhar Ali
1000893,2017-01-22,Pakistan,Sharjeel Khan
1000893,2017-01-22,Pakistan,Babar Azam
1000893,2017-01-22,Pakistan,Mohammad Hafeez
1000893,2017-01-22,Pakistan,Shoaib Malik
1000893,2017-01-22,Pakistan,Umar Akmal
1000893,2017-01-22,Pakistan,Mohammad Rizwan
1000893,2017-01-22,Pakistan,Imad Wasim
1000893,2017-01-22,Pakistan,Mohammad Amir
1000893,2017-01-22,Pakistan,Hasan Ali
1000893,2017-01-22,Pakistan,Junaid Khan
1000895,2017-01-26,Australia,DA Warner
1000895,2017-01-26,Australia,TM Head
1000895,2017-01-26,Australia,SPD Smith
1000895,2017-01-26,Australia,GJ Maxwell
1000895,2017-01-26,Australia,MS Wade
1000895,2017-01-26,Australia,PSP Handscomb
1000895,2017-01-26,Australia,JP Faulkner
1000895,2017-01-26,Australia,MA Starc
1000895,2017-01-26,Australia,PJ Cummins
1000895,2017-01-26,Australia,A Zampa
1000895,2017-01-26,Australia,JR Hazlewood
1000895,2017-01-26,Pakistan,Azhar Ali
1000895,2017-01-26,Pakistan,Sharjeel Khan
1000895,2017-01-26,Pakistan,Babar Azam
1000895,2017-01-26,Pakistan,Mohammad Hafeez
1000895,2017-01-26,Pakistan,Shoaib Malik
1000895,2017-01-26,Pakistan,Umar Akmal
1000895,2017-01-26,Pakistan,Mohammad Rizwan
1000895,2017-01-26,Pakistan,Mohammad Amir
1000895,2017-01-26,Pakistan,Wahab Riaz
1000895,2017-01-26,Pakistan,Hasan Ali
1000895,2017-01-26,Pakistan,Junaid Khan
1001371,2016-12-04,Australia,DA Warner
1001371,2016-12-04,Australia,AJ Finch
1001371,2016-12-04,Australia,SPD Smith
1001371,2016-12-04,Australia,GJ Bailey
1001371,2016-12-04,Australia,MR Marsh
1001371,2016-12-04,Australia,TM Head
1001371,2016-12-04,Australia,MS Wade
1001371,2016-12-04,Australia,PJ Cummins
1001371,2016-12-04,Australia,MA Starc
1001371,2016-12-04,Australia,A Zampa
1001371,2016-12-04,Australia,JR Hazlewood
1001371,2016-12-04,New Zealand,MJ Guptill
1001371,2016-12-04,New Zealand,TWM Latham
1001371,2016-12-04,New Zealand,KS Williamson
1001371,2016-12-04,New Zealand,JDS Neesham
1001371,2016-12-04,New Zealand,BJ Watling
1001371,2016-12-04,New Zealand,C Munro
1001371,2016-12-04,New Zealand,MJ Santner
1001371,2016-12-04,New Zealand,C de Grandhomme
1001371,2016-12-04,New Zealand,MJ Henry
1001371,2016-12-04,New Zealand,LH Ferguson
1001371,2016-12-04,New Zealand,TA Boult
1001373,2016-12-06,Australia,DA Warner
1001373,2016-12-06,Australia,AJ Finch
1001373,2016-12-06,Australia,SPD Smith
1001373,2016-12-06,Australia,TM Head
1001373,2016-12-06,Australia,MR Marsh
1001373,2016-12-06,Australia,MS Wade
1001373,2016-12-06,Australia,GJ Bailey
1001373,2016-12-06,Australia,PJ Cummins
1001373,2016-12-06,Australia,MA Starc
1001373,2016-12-06,Australia,JP Faulkner
1001373,2016-12-06,Australia,JR Hazlewood
1001373,2016-12-06,New Zealand,MJ Guptill
1001373,2016-12-06,New Zealand,TWM Latham
1001373,2016-12-06,New Zealand,KS Williamson
1001373,2016-12-06,New Zealand,JDS Neesham
1001373,2016-12-06,New Zealand,C Munro
1001373,2016-12-06,New Zealand,C de Grandhomme
1001373,2016-12-06,New Zealand,MJ Santner
1001373,2016-12-06,New Zealand,BJ Watling
1001373,2016-12-06,New Zealand,TG Southee
1001373,2016-12-06,New Zealand,MJ Henry
1001373,2016-12-06,New Zealand,TA Boult
1001375,2016-12-09,Australia,DA Warner
1001375,2016-12-09,Australia,AJ Finch
1001375,2016-12-09,Australia,SPD Smith
1001375,2016-12-09,Australia,GJ Bailey
1001375,2016-12-09,Australia,MR Marsh
1001375,2016-12-09,Australia,TM Head
1001375,2016-12-09,Australia,MS Wade
1001375,2016-12-09,Australia,JP Faulkner
1001375,2016-12-09,Australia,MA Starc
1001375,2016-12-09,Australia,PJ Cummins
1001375,2016-12-09,Australia,JR Hazlewood
1001375,2016-12-09,New Zealand,MJ Guptill
1001375,2016-12-09,New Zealand,TWM Latham
1001375,2016-12-09,New Zealand,KS Williamson
1001375,2016-12-09,New Zealand,HM Nicholls
1001375,2016-12-09,New Zealand,C Munro
1001375,2016-12-09,New Zealand,BJ Watling
1001375,2016-12-09,New Zealand,C de Grandhomme
1001375,2016-12-09,New Zealand,MJ Santner
1001375,2016-12-09,New Zealand,TG Southee
1001375,2016-12-09,New Zealand,LH Ferguson
1001375,2016-12-09,New Zealand,TA Boult
1004283,2016-09-08,Hong Kong,Nizakat Khan
1004283,2016-09-08,Hong Kong,Aizaz Khan
1004283,2016-09-08,Hong Kong,Babar Hayat
1004283,2016-09-08,Hong Kong,Anshuman Rath
1004283,2016-09-08,Hong Kong,Ehsan Khan
1004283,2016-09-08,Hong Kong,Tanwir Afzal
1004283,2016-09-08,Hong Kong,Shahid Wasif
1004283,2016-09-08,Hong Kong,C Carter
1004283,2016-09-08,Hong Kong,Waqas Khan
1004283,2016-09-08,Hong Kong,Nadeem Ahmed
1004283,2016-09-08,Hong Kong,Tanveer Ahmed
1004283,2016-09-08,Scotland,KJ Coetzer
1004283,2016-09-08,Scotland,CD Wallace
1004283,2016-09-08,Scotland,CS MacLeod
1004283,2016-09-08,Scotland,MH Cross
1004283,2016-09-08,Scotland,RD Berrington
1004283,2016-09-08,Scotland,PL Mommsen
1004283,2016-09-08,Scotland,CD de Lange
1004283,2016-09-08,Scotland,SM Sharif
1004283,2016-09-08,Scotland,MRJ Watt
1004283,2016-09-08,Scotland,AC Evans
1004283,2016-09-08,Scotland,CB Sole
1004285,2016-09-10,Hong Kong,Aizaz Khan
1004285,2016-09-10,Hong Kong,C Carter
1004285,2016-09-10,Hong Kong,Babar Hayat
1004285,2016-09-10,Hong Kong,Nizakat Khan
1004285,2016-09-10,Hong Kong,Anshuman Rath
1004285,2016-09-10,Hong Kong,Ehsan Khan
1004285,2016-09-10,Hong Kong,Shahid Wasif
1004285,2016-09-10,Hong Kong,Waqas Khan
1004285,2016-09-10,Hong Kong,Tanwir Afzal
1004285,2016-09-10,Hong Kong,Nadeem Ahmed
1004285,2016-09-10,Hong Kong,Tanveer Ahmed
1004285,2016-09-10,Scotland,KJ Coetzer
1004285,2016-09-10,Scotland,MH Cross
1004285,2016-09-10,Scotland,CS MacLeod
1004285,2016-09-10,Scotland,MA Leask
