player,team
A Ashok,New Zealand
A Athanaze,West Indies
A Bagai,Canada
A Balbirnie,Ireland
A Bohara,Nepal
A Codrington,Canada
A Dananjaya,Sri Lanka
A Dutt,Netherlands
A Flintoff,England
A Flower,Zimbabwe
A Johnson,Canada
A Kumble,India
A Maregwede,Zimbabwe
A Martin,West Indies
A McGrath,England
A Mishra,India
A Mithun,India
A Nao,Papua New Guinea
A Nehra,India
A Neill,Scotland
A Nel,South Africa
A Nortje,South Africa
A Patel,Canada
A Phillip,West Indies
A Saud,Nepal
A Shahzad,England
A Shamshudeen,Canada
A Sharafu,United Arab Emirates
A Sharma,United Arab Emirates
A Symonds,Australia
A Vala,Papua New Guinea
A Valthapa,United Arab Emirates
A Zampa,Australia
A van der Merwe,Ireland
AA Jangoo,West Indies
AA Mulla,Canada
AA Obanda,Kenya
AA Paradkar,United States of America
AA Shafique,Oman
AAP Atkinson,England
AB Agarkar,India
AB Barath,West Indies
AB Dinda,India
AB de Villiers,South Africa
AC Agar,Australia
AC Botha,Ireland
AC Cummins,Canada
AC Dawson,South Africa
AC Evans,Scotland
AC Gilchrist,Australia
AC Voges,Australia
AD Hales,England
AD Mascarenhas,England
AD Mathews,Sri Lanka
AD Poynter,Ireland
AD Russell,West Indies
ADJ Pitcher,Bermuda
ADR Campbell,Zimbabwe
ADS Fletcher,West Indies
AF Buurman,Netherlands
AF Giles,England
AF Milne,New Zealand
AF Sattaur,Canada
AG Cremer,Zimbabwe
AG Prince,South Africa
AG Puttick,South Africa
AG Wharf,England
AGS Gous,United States of America
AJ Bichel,Australia
AJ Burger,Namibia
AJ Finch,Australia
AJ Hall,South Africa
AJ Hosein,West Indies
AJ Ireland,Zimbabwe
AJ McKay,New Zealand
AJ Redmond,New Zealand
AJ Stewart,England
AJ Strauss,England
AJ Turner,Australia
AJ Tye,Australia
AK Markram,South Africa
AK Perera,Sri Lanka
AK Sah,Nepal
AL Kandappah,Canada
AL Phehlukwayo,South Africa
AM Bacher,South Africa
AM Blignaut,Zimbabwe
AM Ellis,New Zealand
